Date,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,No. of countries,Daily_Growth_Rate,New_Cases_Pct,New_Cases_7MA,New_Deaths_7MA,New_Cases_14MA
2020-01-22,555,17,28,510,0,0,0,3.06,5.05,60.71,6,,0.0,,,
2020-01-23,654,18,30,606,99,1,2,2.75,4.59,60.0,8,17.83783783783783,15.14,,,
2020-01-24,941,26,36,879,287,8,6,2.76,3.83,72.22,9,43.88379204892967,30.5,,,
2020-01-25,1434,42,39,1353,493,16,3,2.93,2.72,107.69,11,52.39107332624866,34.38,,,
2020-01-26,2118,56,52,2010,684,14,13,2.64,2.46,107.69,13,47.69874476987448,32.29,,,
2020-01-27,2927,82,61,2784,809,26,9,2.8,2.08,134.43,16,38.19641170915959,27.64,,,
2020-01-28,5578,131,107,5340,2651,49,46,2.35,1.92,122.43,16,90.57055005124701,47.53,717.5714285714286,16.285714285714285,
2020-01-29,6166,133,125,5908,588,2,18,2.16,2.03,106.4,18,10.541412692721398,9.54,801.5714285714286,16.571428571428573,
2020-01-30,8234,171,141,7922,2068,38,16,2.08,1.71,121.28,20,33.53876094712942,25.12,1082.857142857143,21.857142857142858,
2020-01-31,9927,213,219,9495,1693,42,78,2.15,2.21,97.26,24,20.56108817099831,17.05,1283.7142857142858,26.714285714285715,
2020-02-01,12038,259,281,11498,2111,46,62,2.15,2.33,92.17,25,21.26523622443841,17.54,1514.857142857143,31.0,
2020-02-02,16787,362,459,15966,4749,103,178,2.16,2.73,78.87,25,39.45007476324971,28.29,2095.5714285714284,43.714285714285715,
2020-02-03,19887,426,604,18857,3100,64,145,2.14,3.04,70.53,25,18.466670637993676,15.59,2422.8571428571427,49.142857142857146,
2020-02-04,23898,492,821,22585,4011,66,217,2.06,3.44,59.93,26,20.168954593453,16.78,2617.1428571428573,51.57142857142857,1667.357142857143
2020-02-05,27643,564,1071,26008,3745,72,250,2.04,3.87,52.66,26,15.670767428236676,13.55,3068.1428571428573,61.57142857142857,1934.857142857143
2020-02-06,30802,634,1418,28750,3159,70,347,2.06,4.6,44.71,26,11.42784791809861,10.26,3224.0,66.14285714285714,2153.4285714285716
2020-02-07,34334,719,1903,31712,3532,85,485,2.09,5.54,37.78,26,11.466787870917482,10.29,3486.714285714286,72.28571428571429,2385.214285714286
2020-02-08,37068,806,2470,33792,2734,87,567,2.17,6.66,32.63,26,7.9629521756859,7.38,3575.714285714286,78.14285714285714,2545.285714285714
2020-02-09,40095,906,3057,36132,3027,100,587,2.26,7.62,29.64,26,8.166073162835863,7.55,3329.714285714286,77.71428571428571,2712.6428571428573
2020-02-10,42633,1013,3714,37906,2538,107,657,2.38,8.71,27.28,26,6.329966329966319,5.95,3249.4285714285716,83.85714285714286,2836.1428571428573
2020-02-11,44675,1113,4417,39145,2042,100,703,2.49,9.89,25.2,26,4.789716885980333,4.57,2968.1428571428573,88.71428571428571,2792.6428571428573
2020-02-12,46561,1118,4849,40594,1886,5,432,2.4,10.41,23.06,26,4.221600447677676,4.05,2702.5714285714284,79.14285714285714,2885.3571428571427
2020-02-13,60206,1371,5930,52905,13645,253,1081,2.28,9.85,23.12,26,29.305642060952298,22.66,4200.571428571428,105.28571428571429,3712.285714285714
2020-02-14,66690,1523,7613,57554,6484,152,1683,2.28,11.42,20.01,27,10.769690728498826,9.72,4622.285714285715,114.85714285714286,4054.5
2020-02-15,68765,1666,8902,58197,2075,143,1289,2.42,12.95,18.71,27,3.111411006147846,3.02,4528.142857142857,122.85714285714286,4051.9285714285716
2020-02-16,70879,1770,10319,58790,2114,104,1417,2.5,14.56,17.15,27,3.074238347996805,2.98,4397.714285714285,123.42857142857143,3863.714285714286
2020-02-17,72815,1868,11951,58996,1936,98,1632,2.57,16.41,15.63,27,2.731415510941182,2.66,4311.714285714285,122.14285714285714,3780.5714285714284
2020-02-18,74609,2008,13693,58908,1794,140,1742,2.69,18.35,14.66,27,2.463778067705835,2.4,4276.285714285715,127.85714285714286,3622.214285714286
2020-02-19,75030,2123,15394,57513,421,115,1701,2.83,20.52,13.79,28,0.5642750874559344,0.56,4067.0,143.57142857142858,3384.785714285714
2020-02-20,75577,2246,17369,55962,547,123,1975,2.97,22.98,12.93,28,0.7290417166466723,0.72,2195.8571428571427,125.0,3198.214285714286
2020-02-21,76206,2250,17966,55990,629,4,597,2.95,23.58,12.52,30,0.8322637839554448,0.83,1359.4285714285713,103.85714285714286,2990.8571428571427
2020-02-22,77967,2457,21849,53661,1761,207,3883,3.15,28.02,11.25,30,2.3108416660105435,2.26,1314.5714285714287,113.0,2921.3571428571427
2020-02-23,78290,2467,22304,53519,323,10,455,3.15,28.49,11.06,31,0.41427783549450314,0.41,1058.7142857142858,99.57142857142857,2728.214285714286
2020-02-24,78854,2627,24047,52180,564,160,1743,3.33,30.5,10.92,36,0.7203985183292794,0.72,862.7142857142857,108.42857142857143,2587.214285714286
2020-02-25,79707,2707,26652,50348,853,80,2605,3.4,33.44,10.16,41,1.0817460116164135,1.07,728.2857142857143,99.85714285714286,2502.285714285714
2020-02-26,80670,2767,29077,48826,963,60,2425,3.43,36.04,9.52,47,1.2081749407203857,1.19,805.7142857142857,92.0,2436.3571428571427
2020-02-27,82034,2810,31919,47305,1364,43,2842,3.43,38.91,8.8,51,1.6908392215197798,1.66,922.4285714285714,80.57142857142857,1559.142857142857
2020-02-28,83411,2867,35306,45238,1377,57,3387,3.44,42.33,8.12,57,1.6785722992905372,1.65,1029.2857142857142,88.14285714285714,1194.357142857143
2020-02-29,85306,2936,38314,44056,1895,69,3008,3.44,44.91,7.66,61,2.271882605411757,2.22,1048.4285714285713,68.42857142857143,1181.5
2020-03-01,87690,2990,41208,43492,2384,54,2894,3.41,46.99,7.26,66,2.794645159777742,2.72,1342.857142857143,74.71428571428571,1200.7857142857142
2020-03-02,89664,3079,44085,42500,1974,89,2877,3.43,49.17,6.98,73,2.2511118713650413,2.2,1544.2857142857142,64.57142857142857,1203.5
2020-03-03,92241,3154,46681,42406,2577,75,2596,3.42,50.61,6.76,76,2.8740631691648755,2.79,1790.5714285714287,63.857142857142854,1259.4285714285713
2020-03-04,94540,3249,49619,41672,2299,95,2938,3.44,52.48,6.55,80,2.4923840808317443,2.43,1981.4285714285713,68.85714285714286,1393.5714285714287
